Position #,FullName,Gender,Salary,Department,DepartmentName,Division,AssignmentCategory,Title,HiringAnalyst,VacancyStatus,VacancyDate,BudgetDate,PostingDate,InterviewDate,OfferDate,AcceptanceDate,SecurityCheckDate,HireDate
10642,"ERNESTI, TYLER",M,"$40,429.17 ",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/18/2013,12/3/2013,12/7/2013,12/24/2013,1/1/2014,1/5/2014,1/11/2014,1/22/2014
10643,"REINHART, TRENTON",M,"$48,701.00 ",FRS,Fire and Rescue Services,Field Recruits,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/13/2013,11/24/2013,12/4/2013,12/17/2013,12/31/2013,1/3/2014,1/11/2014,1/22/2014
10644,"NINA, ESTEBAN",M,"$48,701.00 ",FRS,Fire and Rescue Services,Field Recruits,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/29/2013,11/16/2013,11/25/2013,12/12/2013,12/20/2013,1/3/2014,1/11/2014,1/22/2014
10645,"KROYER, MOSES",M,"$48,701.00 ",FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,JENNIFER MARTINEZ,Filled,11/8/2013,11/12/2013,11/26/2013,12/7/2013,12/22/2013,1/3/2014,1/10/2014,1/22/2014
10646,"FREEMANTLE, ROSENDO",M,"$48,701.00 ",FRS,Fire and Rescue Services,Field Recruits,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/28/2013,11/13/2013,11/22/2013,12/5/2013,12/18/2013,1/1/2014,1/10/2014,1/22/2014
10647,"KROTZ, KURTIS",M,"$28,628.93 ",DLC,Department of Liquor Control,Seneca Meadows,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,10/26/2013,11/5/2013,11/11/2013,12/4/2013,12/20/2013,12/30/2013,1/10/2014,1/22/2014
10648,"VIGO, ELLIS",M,"$48,701.00 ",FRS,Fire and Rescue Services,Field Recruits,Fulltime-Regular,Firefighter/Rescuer III,JENNIFER MARTINEZ,Filled,11/2/2013,11/16/2013,11/22/2013,12/10/2013,12/20/2013,12/28/2013,1/10/2014,1/22/2014
10649,"BARRIEAU, JORDAN",M,"$48,701.00 ",FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Firefighter/Rescuer III,ELIZABETH RODRIGUEZ,Filled,11/22/2013,12/5/2013,12/11/2013,12/27/2013,1/2/2014,1/5/2014,1/9/2014,1/22/2014
10650,"FRASCHETTI, AHMAD",M,"$47,905.00 ",COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),JAMES JOHNSON,Filled,11/22/2013,11/29/2013,12/5/2013,12/22/2013,12/28/2013,1/3/2014,1/9/2014,1/22/2014
10651,"FIDLER, JONAS",M,"$48,701.00 ",FRS,Fire and Rescue Services,Field Recruits,Fulltime-Regular,Firefighter/Rescuer III,MICHAEL GARCIA,Filled,11/8/2013,11/15/2013,11/26/2013,12/15/2013,12/29/2013,1/2/2014,1/9/2014,1/22/2014
10652,"VOGHT, RILEY",M,"$69,676.20 ",DOT,Department of Transportation,Traffic Engineering Studies Section,Fulltime-Regular,Engineer Technician II,ROBERT MILLER,Filled,11/3/2013,11/11/2013,11/21/2013,12/13/2013,12/23/2013,12/31/2013,1/9/2014,1/22/2014
10653,"FRYE, CORTEZ",M,"$48,701.00 ",FRS,Fire and Rescue Services,Field Recruits,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/16/2013,11/2/2013,11/13/2013,12/4/2013,12/18/2013,12/28/2013,1/9/2014,1/22/2014
10654,"STATMAN, MABLE",F,"$70,470.09 ",POL,Department of Police,ISB Criminal Investigations Division Crime Laboratory Section,Fulltime-Regular,Forensic Scientist,CHARLES MOORE,Filled,11/13/2013,11/23/2013,12/2/2013,12/13/2013,12/25/2013,12/30/2013,1/8/2014,1/22/2014
10655,"MICKIE, MILAN",M,"$48,701.00 ",FRS,Fire and Rescue Services,Field Recruits,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/25/2013,11/7/2013,11/15/2013,12/1/2013,12/16/2013,12/26/2013,1/8/2014,1/22/2014
10656,"GIBEAULT, BARBAR",F,"$42,450.55 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,CHARLES MOORE,Filled,11/11/2013,11/23/2013,12/1/2013,12/19/2013,12/28/2013,1/2/2014,1/7/2014,1/22/2014
10657,"ANTIL, JEFFERSON",M,"$40,429.17 ",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/8/2013,11/20/2013,11/27/2013,12/13/2013,12/24/2013,12/29/2013,1/7/2014,1/22/2014
10658,"FERGUS, MALCOM",M,"$34,211.07 ",CEC,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Urban District Public Service Aide,MARY SMITH,Filled,10/24/2013,11/10/2013,11/17/2013,12/3/2013,12/18/2013,12/26/2013,1/7/2014,1/22/2014
10659,"ISGAR, SVETLANA",F,"$37,260.00 ",POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Principal Administrative Aide,DOROTHY THOMPSON,Filled,10/28/2013,11/6/2013,11/16/2013,12/5/2013,12/17/2013,12/27/2013,1/6/2014,1/22/2014
10660,"BANG, LYMAN",M,"$48,701.00 ",FRS,Fire and Rescue Services,Field Recruits,Fulltime-Regular,Firefighter/Rescuer III,WILLIAM WILSON,Filled,10/20/2013,11/2/2013,11/8/2013,11/28/2013,12/13/2013,12/25/2013,1/6/2014,1/22/2014
10661,"GETTE, LUCILLA",F,"$42,450.55 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,JOSEPH JACKSON,Filled,10/30/2013,11/11/2013,11/16/2013,12/5/2013,12/18/2013,12/27/2013,1/4/2014,1/22/2014
10662,"FREDO, JEROLD",M,"$42,450.55 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,JOSEPH JACKSON,Filled,11/2/2013,11/14/2013,11/18/2013,12/6/2013,12/18/2013,12/29/2013,1/3/2014,1/22/2014
10663,"ZILER, OPAL",F,"$90,790.20 ",DPS,Department of Permitting Services,Land Development Right-of-Way Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,MICHAEL GARCIA,Filled,10/23/2013,11/7/2013,11/17/2013,12/8/2013,12/23/2013,12/27/2013,1/3/2014,1/22/2014
10664,"BEIERMAN, EMERSON",M,"$42,450.55 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,JOSEPH JACKSON,Filled,11/1/2013,11/13/2013,11/23/2013,12/13/2013,12/27/2013,12/30/2013,1/2/2014,1/22/2014
10665,"ESPEN, ELBA",F,"$42,450.55 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,JOSEPH JACKSON,Filled,10/28/2013,11/9/2013,11/15/2013,12/7/2013,12/22/2013,12/29/2013,1/2/2014,1/22/2014
10666,"TORQUATO, ALEXA",F,"$42,450.55 ",POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,MARGARET MARTIN,Filled,10/20/2013,11/2/2013,11/6/2013,11/22/2013,12/4/2013,12/21/2013,12/29/2013,1/22/2014
10667,"OCARANZA, DOMENICA",F,"$95,920.90 ",LIB,Department of Public Libraries,Aspen Hill Library,Fulltime-Regular,Manager III,SUSAN HERNANDEZ,Filled,11/3/2013,11/21/2013,11/25/2013,12/15/2013,12/30/2013,1/6/2014,1/16/2014,1/21/2014
10668,"RUDASILL, ROCCO",M,"$58,297.02 ",DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Senior Supply Technician,PATRICIA WILLIAMS,Filled,10/25/2013,11/3/2013,11/16/2013,12/6/2013,12/16/2013,1/1/2014,1/14/2014,1/21/2014
10669,"LINDROTH, TITUS",M,"$47,360.95 ",DEP,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Specialist I,JAMES JOHNSON,Filled,11/17/2013,11/23/2013,11/30/2013,12/18/2013,12/30/2013,1/4/2014,1/13/2014,1/21/2014
10670,"TIAN, ASHLEY",M,"$93,740.89 ",DOT,Department of Transportation,Traffic Engineering and Operations Development Review,Fulltime-Regular,Engineer III,BARBARA DAVIS,Filled,11/15/2013,11/23/2013,11/30/2013,12/13/2013,12/22/2013,1/2/2014,1/13/2014,1/21/2014
10671,"DECORA, NORBERTO",M,"$40,429.57 ",DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,JOHN BROWN,Filled,10/30/2013,11/14/2013,11/22/2013,12/14/2013,12/28/2013,1/1/2014,1/12/2014,1/21/2014
10672,"RACELA, ARLETTE",F,"$66,348.45 ",OHR,Office of Human Resources,Recruitment and Selection,Fulltime-Regular,Human Resources Specialist III,SUSAN HERNANDEZ,Filled,11/9/2013,11/22/2013,11/28/2013,12/15/2013,12/24/2013,1/6/2014,1/11/2014,1/21/2014
10673,"PREUIT, SUN",F,"$64,256.11 ",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,RICHARD THOMAS,Filled,11/19/2013,11/27/2013,12/2/2013,12/20/2013,12/29/2013,1/3/2014,1/11/2014,1/21/2014
10674,"NOLA, IVANA",F,"$115,525.29 ",OHR,Office of Human Resources,Employee Benefits,Fulltime-Regular,Manager III,SUSAN HERNANDEZ,Filled,10/26/2013,11/9/2013,11/17/2013,12/5/2013,12/15/2013,12/28/2013,1/11/2014,1/21/2014
10675,"TATEM, FRANCINA",F,"$46,088.90 ",HHS,Department of Health and Human Services,Adult Behavioral Health Services,Fulltime-Regular,Behavioral Health Associate Counselor,JENNIFER MARTINEZ,Filled,10/17/2013,10/29/2013,11/12/2013,12/2/2013,12/15/2013,12/28/2013,1/8/2014,1/21/2014
10676,"AUSTERMAN, ILUMINADA",F,"$38,809.82 ",POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Animal Care Attendant,MARGARET MARTIN,Filled,10/23/2013,11/8/2013,11/14/2013,12/7/2013,12/17/2013,12/23/2013,1/4/2014,1/21/2014
10677,"WHITCHER, IAN",M,"$38,809.64 ",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,ROBERT MILLER,Filled,11/7/2013,11/21/2013,11/30/2013,12/20/2013,1/1/2014,1/10/2014,1/15/2014,1/20/2014
10678,"KACIR, JOSHUA",M,"$102,153.00 ",FIN,Department of Finance,Payroll,Fulltime-Regular,Program Manager II,MICHAEL GARCIA,Filled,11/11/2013,11/22/2013,11/29/2013,12/21/2013,12/31/2013,1/4/2014,1/14/2014,1/20/2014
10679,"GAUMONT, RUDOLF",M,"$37,831.22 ",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,LINDA JONES,Filled,10/30/2013,11/14/2013,11/26/2013,12/13/2013,12/27/2013,1/1/2014,1/14/2014,1/20/2014
10680,"KALOUSTIAN, DESPINA",F,"$17,893.08 ",LIB,Department of Public Libraries,Silver Spring Library,Parttime-Regular,Library Desk Assistant,SUSAN HERNANDEZ,Filled,11/4/2013,11/19/2013,11/29/2013,12/17/2013,12/28/2013,1/9/2014,1/13/2014,1/20/2014
10681,"DEREZ, MARDELL",F,"$57,770.54 ",LIB,Department of Public Libraries,White Oak Library,Fulltime-Regular,Librarian I,SUSAN HERNANDEZ,Filled,11/10/2013,11/19/2013,11/30/2013,12/18/2013,1/1/2014,1/5/2014,1/13/2014,1/20/2014
10682,"WELT, ARTIE",F,"$26,463.92 ",LIB,Department of Public Libraries,Little Falls Library,Parttime-Regular,Librarian I,SUSAN HERNANDEZ,Filled,10/31/2013,11/15/2013,11/27/2013,12/18/2013,12/28/2013,1/9/2014,1/12/2014,1/20/2014
10683,"BRIMAGE, NATHANIEL",M,"$28,628.93 ",DLC,Department of Liquor Control,Chevy Chase Center,Parttime-Regular,Liquor Store Clerk I,JOHN BROWN,Filled,10/26/2013,11/9/2013,11/21/2013,12/9/2013,12/22/2013,1/3/2014,1/12/2014,1/20/2014
10684,"FRANCESE, KEVIN",M,"$28,885.28 ",LIB,Department of Public Libraries,Bethesda Library,Parttime-Regular,Librarian I,SUSAN HERNANDEZ,Filled,11/7/2013,11/21/2013,12/3/2013,12/22/2013,1/2/2014,1/7/2014,1/11/2014,1/20/2014
10685,"SOVOCOOL, PASTY",F,"$42,156.59 ",HHS,Department of Health and Human Services,Educational Support,Fulltime-Regular,Office Services Coordinator,DAVID ANDERSON,Filled,11/3/2013,11/16/2013,11/23/2013,12/13/2013,12/31/2013,1/3/2014,1/11/2014,1/20/2014
10686,"ZANFARDINO, MAXWELL",M,"$53,171.78 ",LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Librarian I,SUSAN HERNANDEZ,Filled,10/20/2013,11/9/2013,11/21/2013,12/10/2013,12/21/2013,12/29/2013,1/11/2014,1/20/2014
10687,"BAUDRY, ZANE",M,"$37,831.22 ",DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,LINDA JONES,Filled,10/17/2013,11/4/2013,11/16/2013,12/10/2013,12/22/2013,12/26/2013,1/9/2014,1/20/2014
10688,"ALTIERI, FATIMA",F,"$38,809.64 ",OCP,Office of Consumer Protection,Operations,Fulltime-Regular,Program Aide,SUSAN HERNANDEZ,Filled,10/7/2013,11/2/2013,11/9/2013,12/2/2013,12/14/2013,12/29/2013,1/7/2014,1/20/2014
10689,"ZINNIEL, ARRON",M,"$46,450.80 ",POL,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Information Technology Technician III,CHARLES MOORE,Filled,11/5/2013,11/23/2013,12/2/2013,12/22/2013,12/27/2013,1/4/2014,1/6/2014,1/20/2014
10690,"STUCHAL, EZEQUIEL",M,"$58,069.83 ",POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer IV (Lieutenant),JOSEPH JACKSON,Filled,11/3/2013,11/20/2013,11/29/2013,12/17/2013,12/26/2013,1/2/2014,1/5/2014,1/20/2014
10691,"SANDVEN, ROLANDO",M,"$76,643.82 ",DHS,Office of Emergency Management and Homeland Security,Policy and Planning,Fulltime-Regular,Emergency Management Specialist II,JOHN BROWN,Filled,10/16/2013,11/1/2013,11/12/2013,12/1/2013,12/12/2013,12/21/2013,1/2/2014,1/20/2014
10692,"GEHRES, KAREEM",M,"$61,418.00 ",POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,DOROTHY THOMPSON,Filled,10/7/2013,10/26/2013,11/2/2013,11/21/2013,12/11/2013,12/22/2013,12/29/2013,1/20/2014
10693,"MCQUISTION, LUDIE",F,"$57,770.55 ",CUS,Community Use of Public Facilities,Scheduling Team,Fulltime-Regular,Program Specialist I,JAMES JOHNSON,Filled,11/7/2013,11/19/2013,11/30/2013,12/16/2013,12/26/2013,1/9/2014,1/15/2014,1/19/2014
10694,"ROSE, MACHELLE",F,"$59,950.56 ",BOE,Board of Elections,Information Technology,Fulltime-Regular,Information Technology Technician III,MARY SMITH,Filled,10/31/2013,11/10/2013,11/20/2013,12/15/2013,12/24/2013,1/1/2014,1/13/2014,1/19/2014
10695,"OMIECINSKI, DOMINIQUE",M,"$37,497.00 ",OMB,Office of Management and Budget,"Process, Production and Technology",Fulltime-Regular,Information Technology Technician III,CHARLES MOORE,Filled,11/5/2013,11/19/2013,12/4/2013,12/19/2013,12/27/2013,1/9/2014,1/11/2014,1/19/2014
10696,"HOING, DARYL",M,"$103,050.73 ",LIB,Department of Public Libraries,Twinbrook Library,Fulltime-Regular,Manager III,SUSAN HERNANDEZ,Filled,11/20/2013,11/26/2013,11/29/2013,12/19/2013,12/27/2013,12/31/2013,1/11/2014,1/19/2014
10697,"GADDE, MARCELINE",F,"$87,636.83 ",DEP,Department of Environmental Protection,Watershed Restoration and Capital Projects,Fulltime-Regular,Engineer III,JAMES JOHNSON,Filled,11/20/2013,11/26/2013,11/28/2013,12/13/2013,12/28/2013,1/2/2014,1/10/2014,1/19/2014
10698,"STACHOWSKI, BREANN",F,"$60,834.72 ",HHS,Department of Health and Human Services,Abused Persons Program,Fulltime-Regular,Therapist II,RICHARD THOMAS,Filled,11/13/2013,11/19/2013,11/23/2013,12/7/2013,12/14/2013,12/27/2013,1/10/2014,1/19/2014
10699,"SOVINSKY, FREDDY",M,"$67,580.64 ",FIN,Department of Finance,General Accounting,Fulltime-Regular,Accountant/Auditor III,MICHAEL GARCIA,Filled,10/16/2013,10/24/2013,11/10/2013,11/29/2013,12/9/2013,12/24/2013,1/8/2014,1/19/2014
10700,"SHIGO, NATASHA",F,"$52,927.63 ",HHS,Department of Health and Human Services,Autism Waiver,Fulltime-Regular,Program Specialist II,JENNIFER MARTINEZ,Filled,10/26/2013,11/8/2013,11/18/2013,12/8/2013,12/21/2013,12/29/2013,1/5/2014,1/19/2014
10701,"TIGNANELLI, CHER",F,"$62,675.59 ",OHR,Office of Human Resources,Records Management,Fulltime-Regular,Administrative Specialist I,SUSAN HERNANDEZ,Filled,10/28/2013,11/11/2013,11/20/2013,12/8/2013,12/21/2013,12/25/2013,1/5/2014,1/19/2014
10702,"LILBURN, ARON",M,"$106,276.00 ",CAT,County Attorney's Office,Insurance Defense Litigation,Fulltime-Regular,Assistant County Attorney III,MARY SMITH,Filled,10/18/2013,11/5/2013,11/13/2013,12/8/2013,12/20/2013,12/29/2013,1/4/2014,1/19/2014
10703,"SCHWEIGHART, LATESHA",F,"$73,137.51 ",POL,Department of Police,ISB Criminal Investigations Division Crime Laboratory Section,Fulltime-Regular,Forensic Scientist,MARGARET MARTIN,Filled,10/30/2013,11/5/2013,11/12/2013,12/4/2013,12/10/2013,12/21/2013,1/2/2014,1/19/2014
10704,"SCHUITEMA, NORMAN",M,"$40,429.57 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/20/2013,12/5/2013,12/14/2013,1/2/2014,1/11/2014,1/14/2014,1/16/2014,1/18/2014
10705,"GAESSER, ADELINE",F,"$40,429.57 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/5/2013,11/26/2013,12/3/2013,12/19/2013,1/3/2014,1/12/2014,1/15/2014,1/18/2014
10706,"BANDLEY, JANELL",F,"$40,429.57 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/30/2013,12/8/2013,12/12/2013,12/26/2013,12/31/2013,1/8/2014,1/14/2014,1/18/2014
10707,"PEARSEY, SHELLEY",F,"$40,429.57 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,10/30/2013,11/11/2013,11/22/2013,12/9/2013,12/25/2013,1/6/2014,1/14/2014,1/18/2014
10708,"BOAMAH, THURMAN",M,"$40,429.57 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,10/29/2013,11/12/2013,11/20/2013,12/5/2013,12/11/2013,12/25/2013,1/14/2014,1/18/2014
10709,"FRIESEN, KEITH",M,"$40,429.57 ",DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/8/2013,11/19/2013,11/25/2013,12/11/2013,12/24/2013,1/6/2014,1/11/2014,1/18/2014
10710,"BOROUGH, REY",M,"$40,429.57 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,10/23/2013,11/2/2013,11/23/2013,12/10/2013,12/28/2013,1/4/2014,1/10/2014,1/18/2014
10711,"BOTTERON, GARRY",M,"$40,429.57 ",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/20/2013,11/25/2013,11/29/2013,12/12/2013,12/23/2013,1/1/2014,1/9/2014,1/18/2014
10712,"HINGSTON, SERGIO",M,"$40,429.57 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,LINDA JONES,Filled,11/1/2013,11/12/2013,11/20/2013,12/12/2013,12/22/2013,1/1/2014,1/7/2014,1/18/2014
10713,"SILBAUGH, DARRYL",M,"$40,429.57 ",DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,10/18/2013,11/7/2013,11/18/2013,12/5/2013,12/15/2013,12/29/2013,1/7/2014,1/18/2014
10714,"DUCHI, NESTOR",M,"$40,429.57 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,10/24/2013,11/7/2013,11/19/2013,12/9/2013,12/19/2013,12/29/2013,1/5/2014,1/18/2014
10715,"COLECCHIA, SERINA",F,"$40,429.57 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,ROBERT MILLER,Filled,11/2/2013,11/9/2013,11/14/2013,12/2/2013,12/15/2013,12/19/2013,1/5/2014,1/18/2014
10716,"SEITER, MARIAM",F,"$40,429.57 ",DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,BARBARA DAVIS,Filled,11/4/2013,11/19/2013,11/23/2013,12/12/2013,12/24/2013,1/1/2014,1/4/2014,1/18/2014
10717,"MACERI, HOPE",F,"$98,574.84 ",POL,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Manager III,THOMAS WHITE,Filled,10/18/2013,11/6/2013,11/14/2013,12/5/2013,12/18/2013,12/27/2013,1/4/2014,1/18/2014
10718,"LAVIELLE, MACK",M,"$50,103.52 ",CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,MARY SMITH,Filled,10/16/2013,10/29/2013,11/4/2013,11/27/2013,12/8/2013,12/29/2013,1/10/2014,1/17/2014
10719,"MARTES, CHARITA",F,"$52,927.83 ",LIB,Department of Public Libraries,Silver Spring Library,Fulltime-Regular,Librarian I,SUSAN HERNANDEZ,Filled,10/29/2013,11/19/2013,11/28/2013,12/15/2013,12/25/2013,1/1/2014,1/9/2014,1/17/2014
10720,"BRDAR, AGRIPINA",F,"$58,663.29 ",REC,Department of Recreation,Youth Development Your Sports/Activities,Fulltime-Regular,Recreation Specialist,THOMAS WHITE,Filled,10/23/2013,11/7/2013,11/19/2013,12/8/2013,12/16/2013,12/23/2013,1/9/2014,1/17/2014
10721,"KRAPOHL, LYLA",F,"$26,463.92 ",LIB,Department of Public Libraries,Marilyn J Praisner Library,Parttime-Regular,Librarian I,SUSAN HERNANDEZ,Filled,11/11/2013,11/23/2013,11/30/2013,12/16/2013,12/27/2013,1/2/2014,1/6/2014,1/17/2014
10722,"CULBERSON, SHERISE",F,"$58,663.29 ",REC,Department of Recreation,Youth Development Your Sports/Activities,Fulltime-Regular,Recreation Specialist,THOMAS WHITE,Filled,10/12/2013,10/29/2013,11/10/2013,11/30/2013,12/14/2013,12/25/2013,1/4/2014,1/17/2014
10723,"SONODA, BEAU",M,"$59,119.20 ",LIB,Department of Public Libraries,Technology Management,Fulltime-Regular,Information Technology Technician III,SUSAN HERNANDEZ,Filled,10/24/2013,11/7/2013,11/13/2013,12/5/2013,12/16/2013,12/23/2013,1/4/2014,1/17/2014
10724,"NEIKIRK, ZANE",M,"$62,286.30 ",HHS,Department of Health and Human Services,Head Start,Fulltime-Regular,Administrative Specialist II,JENNIFER MARTINEZ,Filled,10/24/2013,11/2/2013,11/14/2013,11/30/2013,12/9/2013,12/18/2013,1/4/2014,1/17/2014
10725,"ILTIS, ERMINIA",F,"$58,063.50 ",REC,Department of Recreation,Mid County Community Recreation Center,Fulltime-Regular,Recreation Specialist,THOMAS WHITE,Filled,10/9/2013,10/26/2013,11/6/2013,12/1/2013,12/16/2013,12/21/2013,1/3/2014,1/17/2014
10726,"DIVIRGILIO, SIRENA",F,"$16,528.04 ",POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,JOSEPH JACKSON,Filled,10/20/2013,11/1/2013,11/7/2013,11/25/2013,12/7/2013,12/16/2013,12/27/2013,1/17/2014
10727,"CAMPOY, MARIELA",F,"$58,220.39 ",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,RICHARD THOMAS,Filled,11/28/2013,12/4/2013,12/13/2013,12/30/2013,1/8/2014,1/11/2014,1/14/2014,1/16/2014
10728,"BEAN, BRANDE",F,"$51,138.00 ",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,MARIA TAYLOR,Filled,11/5/2013,11/14/2013,11/21/2013,12/11/2013,12/24/2013,12/31/2013,1/13/2014,1/16/2014
10729,"FLINTROY, TRUDY",F,"$37,831.20 ",PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative I,CHARLES MOORE,Filled,11/19/2013,11/29/2013,12/4/2013,12/25/2013,1/1/2014,1/6/2014,1/12/2014,1/16/2014
10730,"GERROW, FELTON",M,"$144,576.43 ",CEX,Offices of the County Executive,Internal Audit,Fulltime-Regular,Manager II,MARY SMITH,Filled,11/6/2013,11/24/2013,11/29/2013,12/17/2013,12/28/2013,1/6/2014,1/10/2014,1/16/2014
10731,"PICI, VENNIE",F,"$84,551.00 ",FIN,Department of Finance,General Accounting,Fulltime-Regular,Accountant/Auditor III,MICHAEL GARCIA,Filled,10/10/2013,10/31/2013,11/13/2013,12/3/2013,12/17/2013,12/30/2013,1/9/2014,1/16/2014
10732,"MATROS, BRYAN",M,"$42,156.21 ",PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,CHARLES MOORE,Filled,11/12/2013,11/17/2013,11/22/2013,12/7/2013,12/20/2013,1/3/2014,1/8/2014,1/16/2014
10733,"LUEBRECHT, ISREAL",M,"$55,431.65 ",DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Equipment Maintenance Crew Chief,PATRICIA WILLIAMS,Filled,10/29/2013,11/18/2013,11/26/2013,12/14/2013,12/26/2013,12/31/2013,1/8/2014,1/16/2014
10734,"BRUST, AMI",F,"$92,931.00 ",FIN,Department of Finance,Grants Accounting,Fulltime-Regular,Accountant/Auditor III,MICHAEL GARCIA,Filled,10/20/2013,11/13/2013,11/22/2013,12/14/2013,12/23/2013,1/2/2014,1/7/2014,1/16/2014
10735,"GREN, ADOLPH",M,"$51,710.00 ",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,DOROTHY THOMPSON,Filled,10/13/2013,10/27/2013,11/4/2013,11/19/2013,12/6/2013,12/25/2013,1/4/2014,1/16/2014
10736,"CRIBB, KAREN",F,"$70,219.54 ",ECM,Ethics Commission,Administrative Support,Fulltime-Regular,Program Specialist II,MICHAEL GARCIA,Filled,10/24/2013,10/30/2013,11/9/2013,12/1/2013,12/9/2013,12/22/2013,1/4/2014,1/16/2014
10737,"RIGER, MIKI",F,"$58,070.30 ",HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,DAVID ANDERSON,Filled,10/12/2013,11/1/2013,11/8/2013,12/3/2013,12/17/2013,12/27/2013,1/1/2014,1/16/2014
10738,"TEEPLES, VICTOR",M,"$59,341.00 ",POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,JOSEPH JACKSON,Filled,10/29/2013,11/11/2013,11/15/2013,12/4/2013,12/16/2013,12/20/2013,12/29/2013,1/16/2014
